date,Sy,Hy,Send,SDoD,Srate,Hend,HDoD,Hrate,intrate,deposit,Spre,Hpre,SS,HH,,
2010-07-19,0,1,795000,-7000,-0.87,23700,200,0.85,2.25,0.008383562,,,,,,
2010-07-20,1,1,798000,3000,0.38,23850,150,0.63,2.25,0.008383562,,,,,,
2010-07-21,1,0,817000,19000,2.38,23600,-250,-1.05,2.25,0.008383562,,,,,,
2010-07-22,0,0,808000,-9000,-1.1,22600,-1000,-4.24,2.25,0.008383562,,,,,,
2010-07-23,1,1,811000,3000,0.37,23250,650,2.88,2.25,0.008383562,,,,,,
2010-07-26,1,1,818000,7000,0.86,23950,700,3.01,2.25,0.008383562,,,,,,
2010-07-27,1,0,829000,11000,1.34,23500,-450,-1.88,2.25,0.008383562,,,,,,
2010-07-28,1,0,837000,8000,0.97,23100,-400,-1.7,2.25,0.008383562,,,,,,
2010-07-29,0,0,827000,-10000,-1.19,22350,-750,-3.25,2.25,0.008383562,,,,,,
2010-07-30,0,1,810000,-17000,-2.06,22500,150,0.67,2.25,0.008383562,,,,,,
2010-08-02,0,0,810000,0,0,21600,-900,-4,2.25,0.008547945,,,,,,
2010-08-03,1,1,815000,5000,0.62,21950,350,1.62,2.25,0.008547945,,,,,,
2010-08-04,0,0,806000,-9000,-1.1,21600,-350,-1.59,2.25,0.008547945,,,,,,
2010-08-05,0,1,804000,-2000,-0.25,21900,300,1.39,2.25,0.008547945,,,,,,
2010-08-06,0,1,801000,-3000,-0.37,22850,950,4.34,2.25,0.008547945,,,,,,
2010-08-09,1,0,802000,1000,0.12,22700,-150,-0.66,2.25,0.008547945,,,,,,
2010-08-10,0,0,793000,-9000,-1.12,22600,-100,-0.44,2.25,0.008547945,,,,,,
2010-08-11,0,0,779000,-14000,-1.77,21200,-1400,-6.19,2.25,0.008547945,,,,,,
2010-08-12,0,0,766000,-13000,-1.67,21200,0,0,2.25,0.008547945,,,,,,
2010-08-13,1,1,781000,15000,1.96,21650,450,2.12,2.25,0.008547945,,,,,,
2010-08-16,1,1,782000,1000,0.13,22100,450,2.08,2.25,0.008547945,,,,,,
2010-08-17,0,0,782000,0,0,22100,0,0,2.25,0.008547945,,,,,,
2010-08-18,0,0,778000,-4000,-0.51,21700,-400,-1.81,2.25,0.008547945,,,,,,
2010-08-19,1,1,789000,11000,1.41,22500,800,3.69,2.25,0.008547945,,,,,,
2010-08-20,0,0,784000,-5000,-0.63,22000,-500,-2.22,2.25,0.008547945,,,,,,
2010-08-23,1,0,790000,6000,0.77,21400,-600,-2.73,2.25,0.008547945,,,,,,
2010-08-24,0,1,783000,-7000,-0.89,21950,550,2.57,2.25,0.008547945,,,,,,
2010-08-25,0,1,772000,-11000,-1.4,22050,100,0.46,2.25,0.008547945,,,,,,
2010-08-26,1,1,773000,1000,0.13,22600,550,2.49,2.25,0.008547945,,,,,,
2010-08-27,0,0,766000,-7000,-0.91,22550,-50,-0.22,2.25,0.008547945,,,,,,
2010-08-30,1,0,776000,10000,1.31,22500,-50,-0.22,2.25,0.008547945,,,,,,
2010-08-31,0,0,756000,-20000,-2.58,21100,-1400,-6.22,2.25,0.008547945,,,,,,
2010-09-01,0,0,752000,-4000,-0.53,20850,-250,-1.18,2.25,0.008410959,,,,,,
2010-09-02,1,1,759000,7000,0.93,21100,250,1.2,2.25,0.008410959,,,,,,
2010-09-03,1,1,761000,2000,0.26,21800,700,3.32,2.25,0.008410959,,,,,,
2010-09-06,1,1,780000,19000,2.5,21850,50,0.23,2.25,0.008410959,,,,,,
2010-09-07,1,0,788000,8000,1.03,21500,-350,-1.6,2.25,0.008410959,,,,,,
2010-09-08,0,0,771000,-17000,-2.16,20750,-750,-3.49,2.25,0.008410959,,,,,,
2010-09-09,0,0,756000,-15000,-1.95,20300,-450,-2.17,2.25,0.008410959,,,,,,
2010-09-10,1,1,766000,10000,1.32,20650,350,1.72,2.25,0.008410959,,,,,,
2010-09-13,1,0,770000,4000,0.52,20500,-150,-0.73,2.25,0.008410959,,,,,,
2010-09-14,0,0,760000,-10000,-1.3,20450,-50,-0.24,2.25,0.008410959,,,,,,
2010-09-15,0,1,757000,-3000,-0.39,21000,550,2.69,2.25,0.008410959,,,,,,
2010-09-16,0,1,757000,0,0,21100,100,0.48,2.25,0.008410959,,,,,,
2010-09-17,1,1,773000,16000,2.11,22500,1400,6.64,2.25,0.008410959,,,,,,
2010-09-20,1,0,780000,7000,0.91,22100,-400,-1.78,2.25,0.008410959,,,,,,
2010-09-24,0,0,762000,-18000,-2.31,21100,-1000,-4.52,2.25,0.008410959,,,,,,
2010-09-27,0,1,755000,-7000,-0.92,21200,100,0.47,2.25,0.008410959,,,,,,
2010-09-28,0,1,745000,-10000,-1.32,21350,150,0.71,2.25,0.008410959,,,,,,
2010-09-29,1,1,772000,27000,3.62,21850,500,2.34,2.25,0.008410959,,,,,,
