source,target,weight
S금리대비,H금리대비,31
S금리대비,코스피변동,51
S금리대비,코스닥변동,21
H금리대비,S금리대비,31
H금리대비,코스피변동,39
H금리대비,코스닥변동,28
S종가,반도체지수,84
S종가,유가종가,-50
S종가,기준금리,-77
H종가,반도체지수,88
H종가,유가종가,-49
H종가,기준금리,-76
코스피변동,S금리대비,51
코스피변동,H금리대비,39
코스피변동,코스닥변동,72
코스피변동,SOX변동,21
코스닥변동,S금리대비,21
코스닥변동,H금리대비,28
코스닥변동,코스피변동,72
코스닥변동,SOX변동,19
유가종가,반도체지수,-52
유가종가,S종가,-50
유가종가,H종가,-49
유가종가,기준금리,85
기준금리,반도체지수,-73
기준금리,S종가,-77
기준금리,H종가,-76
기준금리,유가종가,85
SOX변동,코스피변동,21
SOX변동,코스닥변동,19
반도체지수,S종가,84
반도체지수,H종가,88
반도체지수,유가종가,-52
반도체지수,기준금리,-73
