date,S금리대비,S종가,H종가,H등락률,H거래량,H거래대금,H시가총액,H상장주식수,원달러환율,유가종가,유가오픈,유가고가,유가저가,유가변동률,한국기준금리,미국기준금리,한미기준금리차이,SOX종가,SOX변동률,BTC종가,BTC변동률,코스피종가,코스피고가,코스피저가,코스피거래량,코스피변동,코스닥종가,코스닥시가,코스닥고가,코스닥저가,코스닥거래량,코스닥변동,SP종가,SP변동률,반도체수출금액지수,S예측
2020-05-14,0,2400000.0,80600.0,-3.59,6409652,520000000000.0,58700000000000.0,728002365,1226.3,27.56,25.56,27.96,25.18,8.98,0.5,0.25,-0.5,1739.05,2.81,9778.4,5.16,1924.96,1931.43,1913.49,760650000.0,-0.8,690.57,687.92,693.68,684.33,1570000000.0,-0.14,2852.5,0.0,170.59,0
2020-05-15,0,2392500.0,81900.0,1.61,4168866,340000000000.0,59600000000000.0,728002365,1227.9,29.43,27.64,29.92,27.24,6.79,0.5,0.25,-0.5,1700.89,-2.19,9318.0,-4.71,1927.28,1938.59,1913.21,866360000.0,0.12,691.93,695.8,696.91,686.23,1360000000.0,0.2,2863.7,0.6,170.59,0
2020-05-18,1,2440000.0,81100.0,-0.98,5294177,427000000000.0,59000000000000.0,728002365,1229.3,31.82,29.53,33.32,29.53,8.12,0.5,0.25,-0.5,1782.54,4.8,9730.7,0.55,1937.11,1943.07,1921.14,761690000.0,0.51,690.85,695.17,695.9,688.88,1470000000.0,-0.16,2953.91,0.38,170.59,1
2020-05-19,1,2515000.0,82700.0,1.97,4620614,381000000000.0,60200000000000.0,728002365,1231.6,32.5,32.83,33.44,31.34,2.14,0.5,0.25,-0.5,1775.61,-0.39,9773.3,0.44,1980.61,1983.77,1968.59,773410000.0,2.25,696.36,696.01,696.39,687.67,1820000000.0,0.8,2922.94,0.37,170.59,1
2020-05-20,0,2500000.0,84100.0,1.69,3924403,327000000000.0,61200000000000.0,728002365,1224.5,33.49,31.89,33.78,31.56,3.05,0.5,0.25,-0.5,1840.79,3.67,9512.3,-2.67,1989.64,1992.2,1972.12,699450000.0,0.46,708.76,697.15,709.16,697.09,2070000000.0,1.78,2971.61,0.05,170.59,0
2020-05-21,0,2497500.0,83400.0,-0.83,2678953,225000000000.0,60700000000000.0,728002365,1227.8,33.92,33.53,34.66,33.26,1.28,0.5,0.25,-0.5,1790.96,-2.71,9059.0,-4.76,1998.31,2004.95,1993.0,601200000.0,0.44,716.02,714.33,716.72,711.71,1990000000.0,1.02,2948.51,-0.13,170.59,0
2020-05-22,0,2437500.0,81300.0,-2.52,3471700,284000000000.0,59200000000000.0,728002365,1230.7,33.25,33.95,34.0,30.72,-1.98,0.5,0.25,-0.5,1802.31,0.63,9169.7,1.22,1970.13,2002.65,1961.4,847470000.0,-1.41,708.58,717.78,719.15,702.5,1700000000.0,-1.04,2955.45,0.26,170.59,0
2020-05-25,1,2442500.0,81400.0,0.12,2850294,231000000000.0,59300000000000.0,728002365,1236.2,33.92,32.92,34.18,32.72,3.1,0.5,0.25,-0.5,1811.41,0.82,8898.2,1.95,1994.6,1994.9,1967.84,641460000.0,1.24,719.89,712.88,719.89,708.6,1600000000.0,1.6,2973.61,0.77,170.59,1
2020-05-26,1,2462500.0,81900.0,0.61,3040122,248000000000.0,59600000000000.0,728002365,1242.0,34.35,33.3,34.81,32.48,1.27,0.5,0.25,-0.5,1820.51,1.01,8842.5,-0.63,2029.78,2029.89,1997.94,1020000000.0,1.76,729.11,723.28,729.16,718.81,1550000000.0,1.28,2991.77,1.28,170.59,1
2020-05-27,1,2495000.0,81400.0,-0.61,2946278,241000000000.0,59300000000000.0,728002365,1237.1,32.81,34.14,34.32,31.75,-4.48,0.5,0.25,-0.5,1847.31,1.47,9199.1,4.03,2031.2,2043.44,2019.82,1180000000.0,0.07,724.59,728.26,730.41,722.04,1570000000.0,-0.62,3036.13,2.16,170.59,1
2020-05-28,1,2520000.0,83900.0,3.07,9227823,777000000000.0,61100000000000.0,728002365,1233.7,33.71,32.1,34.21,31.14,2.74,0.5,0.25,-0.5,1804.66,-2.31,9572.2,4.06,2028.54,2054.52,2003.75,1170000000.0,-0.13,708.75,728.76,728.8,695.3,2100000000.0,-2.19,3029.73,-0.61,170.59,1
2020-05-29,1,2535000.0,81500.0,-2.86,6815185,558000000000.0,59300000000000.0,728002365,1239.4,35.49,33.68,35.77,32.36,5.28,0.5,0.25,-0.5,1852.49,2.65,9424.8,-1.54,2029.6,2038.89,2006.62,1090000000.0,0.05,713.68,706.16,714.51,700.84,1470000000.0,0.7,3044.31,-0.14,170.59,1
2020-06-01,1,2560000.0,83600.0,2.58,4205357,350000000000.0,60900000000000.0,728002365,1237.6,35.44,35.21,35.9,34.27,-0.14,0.5,0.25,-0.5,1843.24,-0.5,10189.3,7.77,2065.08,2065.38,2035.63,997350000.0,1.75,735.72,716.96,735.72,716.83,1280000000.0,3.09,3055.73,-0.75,173.6,1
